region,prefecture,commune,nom,categorie,statut,en_service,lon,lat
Maritime,Agoè-Nyivé,Agoè-Nyivé 6,FUCEC Togo Adétikopé,Micro-Finance,Néant,True,1.21842,6.32086
Maritime,Agoè-Nyivé,Agoè-Nyivé 6,La Mutuelle Dignite Humaine,Micro-Finance,Utilisé,True,1.22217,6.31506
Maritime,Agoè-Nyivé,Agoè-Nyivé 6,CECAV Fraternite Adeticope,Micro-Finance,Utilisé,True,1.21794,6.31831
Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Mutuelle Akwaba Adetikope,Micro-Finance,Utilisé,True,1.2193,6.32098
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Mutuelle Digitale Humaine Agoè Assiyéué,Micro-Finance,Utilisé,True,1.19672,6.23386
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,CEF-MF Legbassito,Micro-Finance,Utilisé,True,1.16768,6.25673
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,ORABANK Assiyeye,Banque,Utilisé,True,1.19724,6.23293
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,WAGES Agoe,Micro-Finance,Utilisé,True,1.19871,6.23138
Maritime,Golfe,Golfe 1,SGT Lomé Port,Banque,Utilisé,True,1.27442,6.14323
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,COOPEC la Grâce Divine,Micro-Finance,Utilisé,True,1.17569,6.25719
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,CECAV Yayra Agoe,Micro-Finance,Utilisé,True,1.19586,6.23436
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,URCLEC Agoè Assiyéyé,Micro-Finance,Utilisé,True,1.19877,6.23091
Maritime,Golfe,Golfe 6,Banque Altantique Luxolin,Banque,Utilisé,True,1.31581,6.16123
Maritime,Golfe,Golfe 4,LMF le Pavillon,Micro-Finance,Néant,True,1.22862,6.13768
Maritime,Golfe,Golfe 6,WAGES Baguida,Micro-Finance,Utilisé,True,1.32827,6.16624
Maritime,Golfe,Golfe 5,CORIS Bank ADidogome Madiba,Banque,Utilisé,True,1.15136,6.19799
Maritime,Golfe,Golfe 7,Microfinance COECEB Adidogome Assiyeye,Micro-Finance,Utilisé,True,1.14603,6.19752
Maritime,Golfe,Golfe 7,Microfinance COOP ICEC,Micro-Finance,Néant,True,1.14497,6.19853
Maritime,Golfe,Golfe 6,SPT Avepozo,Banque,Utilisé,True,1.3447,6.1693
Maritime,Golfe,Golfe 7,Microfinance Millenium Apedokoe,Micro-Finance,Utilisé,True,1.14397,6.20389
Maritime,Golfe,Golfe 7,Microfinance Echoppe Togo Wonye,Micro-Finance,Utilisé,True,1.14785,6.19124
Maritime,Golfe,Golfe 4,BOA Dekon,Banque,Néant,True,1.22686,6.13637
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,CORIS Bank ADIDO-ADIN,Banque,Autre,True,1.18949,6.20905
Maritime,Golfe,Golfe 5,IB Bank Agbalépédogan,Banque,Utilisé,True,1.20084,6.19759
Maritime,Golfe,Golfe 3,NSIA Banque Agbalepedogan,Banque,Utilisé,True,1.20758,6.18844
Maritime,Golfe,Golfe 3,GTA Assurance,Assurance,Utilisé,True,1.20914,6.19112
Maritime,Golfe,Golfe 5,COECEPT Avédji,Micro-Finance,Utilisé,True,1.17263,6.19318
Maritime,Golfe,Golfe 5,COOPEC AD Agbalépédogan,Micro-Finance,Utilisé,True,1.19262,6.19538
Maritime,Golfe,Golfe 1,BIA Togo Akodessewa,Banque,Utilisé,True,1.26715,6.15543
Maritime,Golfe,Golfe 6,CECAV Fraternité,Micro-Finance,Utilisé,True,1.34908,6.17091
Maritime,Golfe,Golfe 1,COOPEC AD,Micro-Finance,Utilisé,True,1.27159,6.16554
Maritime,Golfe,Golfe 1,COCEC de Kanyikope,Micro-Finance,Utilisé,True,1.29656,6.16792
Maritime,Golfe,Golfe 2,MECI d'attiegou,Micro-Finance,Utilisé,True,1.27105,6.18767
Maritime,Golfe,Golfe 1,WAGES d'adakpame,Micro-Finance,Utilisé,True,1.28985,6.17018
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Mutual Finance,Micro-Finance,Utilisé,True,1.18818,6.21185
Maritime,Golfe,Golfe 5,WAGES Avedji,Micro-Finance,Utilisé,True,1.18104,6.20106
Maritime,Golfe,Golfe 3,Prudential Beneficial Life Insurance,Assurance,Utilisé,True,1.20849,6.19236
Maritime,Golfe,Golfe 1,SUNU Assurance Akodessewa,Assurance,Utilisé,True,1.241,6.14094
Maritime,Golfe,Golfe 1,CORIS Bank d'Akodessewa,Banque,Utilisé,True,1.28422,6.15892
Maritime,Golfe,Golfe 1,CECAV Akodessewa,Micro-Finance,Utilisé,True,1.26736,6.15239
Maritime,Golfe,Golfe 1,ORABANK du Port,Banque,Utilisé,True,1.26661,6.13904
Maritime,Golfe,Golfe 6,COCEC Baguida,Micro-Finance,Utilisé,True,1.31364,6.17149
Maritime,Golfe,Golfe 6,COOPEC La Fructueuse Adamavo,Micro-Finance,Utilisé,True,1.30657,6.1696
Maritime,Golfe,Golfe 1,Coda Zorobar,Micro-Finance,Utilisé,True,1.2849,6.1645
Maritime,Golfe,Golfe 1,COOPEC la Fructueuse,Micro-Finance,Utilisé,True,1.26678,6.16517
Maritime,Golfe,Golfe 1,SPT Akodessewa,Banque,Utilisé,True,1.26724,6.15156
Maritime,Golfe,Golfe 1,BSIC Lomé Port,Banque,Utilisé,True,1.27662,6.1434
Maritime,Golfe,Golfe 6,COFEC Baguida,Micro-Finance,Utilisé,True,1.33268,6.16896
Maritime,Golfe,Golfe 6,ORABANK Baguida,Banque,Utilisé,True,1.32854,6.16452
Maritime,Golfe,Golfe 6,CORIS Bank Avepozo,Banque,Utilisé,True,1.34057,6.16818
Maritime,Golfe,Golfe 4,ECOBANK Assivito,Banque,Néant,True,1.22152,6.12922
Maritime,Golfe,Golfe 6,COOPECfi Avepozo,Micro-Finance,Utilisé,True,1.33752,6.16771
Maritime,Agoè-Nyivé,Agoè-Nyivé 4,ORABANK Agence Terminal du Sahel,Banque,En réfection,True,1.21008,6.26898
Maritime,Golfe,Golfe 1,ECOBANK Akodessewa,Banque,Utilisé,True,1.26578,6.15312
Maritime,Golfe,Golfe 1,ORABANK Port,Banque,Utilisé,True,1.2744,6.14352
Maritime,Golfe,Golfe 1,BOA Lomé Port,Banque,Utilisé,True,1.27451,6.14297
Maritime,Golfe,Golfe 1,ECOBANK Rond Point Port,Banque,Utilisé,True,1.27453,6.14286
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,COOPECfI Assiyeye,Micro-Finance,Utilisé,True,1.19755,6.22589
Maritime,Golfe,Golfe 7,Microfinance FIDES -Togo Yokoe,Micro-Finance,Utilisé,True,1.14375,6.18024
Maritime,Golfe,Golfe 1,FUCEC Togo Bè,Micro-Finance,Utilisé,True,1.24269,6.14224
Maritime,Golfe,Golfe 1,GTA Assurance Akodésséwa,Assurance,Utilisé,True,1.27152,6.15039
Maritime,Golfe,Golfe 1,UTB Lomé Port,Banque,Utilisé,True,1.2748,6.14358
Maritime,Golfe,Golfe 1,SPT Lomé Port,Banque,Utilisé,True,1.27555,6.1441
Maritime,Golfe,Golfe 1,COOPEC Maturite TP3,Micro-Finance,Utilisé,True,1.28868,6.16022
